Modèle,Version,Prix,Promo,Ancien Prix,DISPONIBILITÉ,CARROSSERIE,GARANTIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,VOLUME DU COFFRE,0-100 KM/H,VITESSE MAXI,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,CONSOMMATION MIXTE,EMISSIONS DE CO2,AIRBAGS,ANTI-PATINAGE,BARRE STABILISATRICE,CALANDRE,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,FEUX À LED,JANTES,PHARES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,APPUIS TÊTES ARRIÈRES,KIT RANGEMENT,POMMEAU DE LEVIER DE VITESSE,SELLERIE,SIÈGES RÉGLABLES EN HAUTEUR,VITRES,VOLANT,VOLANT RÉGLABLE,CLIMATISATION,FERMETURE CENTRALISÉE,RÉTROVISEURS EXTÉRIEURS,VITRES ÉLECTRIQUES,URL,AIDE AU STATIONNEMENT,BAGUETTES EXTÉRIEURES D'ENCADREMENT DES VITRES,SEUILS DE PORTES,ALIMENTATION ÉLECTRIQUE,BARRES DE TOIT,DIFFÉRENTIEL AUTOBLOQUANT,DIRECTION ASSISTÉE,FINITION INTÉRIEURE,SIÈGES,BOUTON START & STOP,CLÉ INTELLIGENTE,FREIN DE STATIONNEMENT,INSTRUMENTATION DIGITALE,RÉTROVISEUR INTÉRIEUR,ALARME ANTIVOL,ASSISTANCE AU FREINAGE,NAVIGATION,NOMBRE DE MOTEURS ÉLECTRIQUES,BATTERIE,CHARGE UTILE,VOLUME UTILE,AUTONOMIE ÉLECTRIQUE (WLTP),TEMPS DE RECHARGE NORMALE (AC),AIDE AU DÉMARRAGE EN CÔTE,MODES DE CONDUITE,CONSOMMATION ÉLECTRIQUE (WLTP),RECONNAISSANCE DES PANNEAUX,PEINTURE,VOLUME DU COFFRE MAXIMAL,KIT SÉCURITÉ,SYSTÈME DE DESCENTE EN CÔTE,ORDINATEUR DE BORD,COFFRE À BAGAGES,TEMPS DE RECHARGE RAPIDE (DC),CONTRÔLE DE PRESSION DES PNEUS,ANTIBROUILLARDS,AUTONOMIE ÉLECTRIQUE (NEDC),RÉGULATEUR DE VITESSE,TAPIS DE SOL
"AVANTIER COMMUTER
31 KWH",Version unique,N/A,Non,,1 mois | En pré-commande,Citadine,5 ans | Batterie garantie 8 ans,4,5,,Electrique,2 CV,68 CH,125 nm 0 tr/min,,Automatique,,Traction,3720 mm,1640 mm,1535 mm,,"7,5 s",100 KM/H,,,,,Frontaux,ESC,,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 15'' | Bi-ton,Full LED,2 haut-parleurs | Commandes au volant,USB | Commande vocale | Mirrorlink,Tactile | 10.1 pouces,,,,,Tissu | Bi-ton,,,Multi-fonctions,En hauteur,Automatique,À distance,Électriques,Avant/Arrière,https://www.automobile.tn/fr/neuf/avantier/commuter/31-kwh,Radar de recul | Système de caméras 360,,,,,,,,,,,Éléctrique | EPB,,,,,,,31.2 kWh,,,300 km,9 heures,Autohold,Normal | Sport | Eco | i-Pedal,"10,4 kWh/100 km",,,,,HDC,,,30 minutes,TPMS,LED,,,
"CHANGAN STAR TRUCK DOUBLE CABINE
1.2 L",Version unique,à partir de 40 900 DT,Non,,Disponible,Pick up,1 an,5,4,4,Essence,7 CV,98 CH,119 nm N.C tr/min,1243 CM³,Manuelle,5,Propulsion,4660 mm,1645 mm,1890 mm,,N.C,120 KM/H,,,7.4 L/100 km,,Frontaux,,,,,,14'',,,AUX,,,,,,Tissu,,,,,Manuelle,,,Avant,https://www.automobile.tn/fr/neuf/changan/star-truck-double-cabine/1.2-l,,,,,,,,,,,,,,,,,,,,965 KG,,,,,,,,,,,,,,,,,,,
DONGFENG BOX,31.4 KWH,49 990 DT,Non,,En pré-commande,Compacte,5 ans ou 150000 km | Batterie garantie 8 ans ou 200.000 km,5,5,,Electrique,3 CV,94 CH,160 nm 0 tr/min,,Automatique,,Traction,4030 mm,1810 mm,1570 mm,326 L,12.5 s,140 KM/H,,,,,Frontaux | Latéraux | Rideaux,ESC | TCS,,,,Feux de jour | Avant | Arrières | Clignotants à défilement,17'',,4 haut-parleurs | Commandes au volant,Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil | Mirrorlink,Tactile | 12.8 pouces,Avant,,,,Cuir artificiel | Bi-ton,Conducteur,,Multi-fonctions,En hauteur,Automatique,À distance,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/dongfeng/box/31.4-kwh#specs,Radar de recul | Caméra de recul,,,1 prise 12 V,,,Électrique,,,Démarrage mains libres,Démarrage à distance | Accès mains libres,Éléctrique,5 pouces,,,EBA | EBD,,1,31.4 kWh,,,237 km,5 heures,Autohold | HAC,Normal | Sport | Eco,12.09 kWh/100 km,,,945 L,,,,,30 minutes,,,330 km,,
"DFSK C32
1.5 L DOUBLE CABINE DLX",Version unique,N/A,Non,,Disponible,Pick up,2 ans,5,4,4,Essence,7 CV,101 CH,136 nm 3000 tr/min,1493 CM³,Manuelle,5,Propulsion,4940 mm,1655 mm,1910 mm,,N.C,N.C,,,8 L/100 km,,Frontaux,ESP,Avant,,,,14'',,,USB | AUX,,,,,,Tissu,,,,,Manuelle,,,Avant,https://www.automobile.tn/fr/neuf/dfsk/c32/1.5-l-double-cabine-dlx,,,,,,,,,,,,,,,,EBD,,,,1115 KG,,,,,,,,,,,,,,,,,,,
KIA PICANTO,1.2 L Smart BVM,53 480 DT,Non,,Disponible,Citadine,5 ans,5,5,4,Essence,5 CV,84 CH,115 nm 4200 tr/min,1197 CM³,Manuelle,5,Traction,3595 mm,1595 mm,1485 mm,255 L,12 s,173 KM/H,6.5 L/100 km,4.3 L/100 km,5.1 L/100 km,,Frontaux,ESC,,,Pare-chocs | Poignées de portes | Rétroviseurs,,En aluminium | 15'',,4 haut-parleurs | Commandes au volant,USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 8 pouces,Avant,,,,Tissu,Conducteur,,Multi-fonctions,En hauteur,Manuelle,À distance,Électriques | Rabattables,Avant/Arrière,https://www.automobile.tn/fr/neuf/kia/picanto/1.2-l-bvm-smart#specs,Radar de recul | Caméra de recul,,,,,,,,,,,,Supervision,,,,,,,,,,,HAC,,,,,,,,Ecran TFT 4.2'',,,,,,,
MAHINDRA XUV 300,1.2 L W6,54 500 DT,Non,,Disponible,SUV,6 ans (5+1),5,5,3,Essence,6 CV,110 CH,200 nm 2000 tr/min,1197 CM³,Manuelle,6,Traction,3995 mm,1821 mm,1627 mm,259 L,11.5 s,176 KM/H,,,5.9 L/100 km,,Frontaux,,,Chromée,Pare-chocs | Poignées de portes,Arrières,En aluminium | 16'',,4 haut-parleurs | Commandes au volant,USB | AUX | Bluetooth,Tactile | 7 pouces,Avant,,,Similicuir,Tissu,Conducteur,,Cuir | Multi-fonctions | Sport,En hauteur,Manuelle,À distance,Électriques,Avant/Arrière,https://www.automobile.tn/fr/neuf/mahindra/xuv-300/1.2-l-w6#specs,Radar de recul,,,1 prise 12 V,,,,,,,,,,,,EBA | VDC,,,,,,,,,Normal | Confort | Sport,,,,,,,"Ecran LCD 3.5""",,,,,,Cruise control,
SUZUKI SWIFT,1.2 L GL,56 400 DT,Non,,En pré-commande,Citadine,3 ans,5,5,3,Essence,4 CV,82 CH,112 nm 4300 tr/min,1197 CM³,Manuelle,5,Traction,3860 mm,1735 mm,1520 mm,265 L,12.5 s,170 KM/H,,,4.4 L/100 km,,Frontaux | Latéraux | Rideaux,ESP,,,,,14'' | Enjoliveurs,,Commandes au volant,USB | Bluetooth,Tactile | 7 pouces,,,,,Tissu,Conducteur,,Multi-fonctions,En hauteur,Automatique,À distance,Électriques | Rabattables | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/suzuki/swift/1.2-l-gl-mt#specs,Radar de recul | Caméra de recul,,,1 prise 12 V,,,,,,,,,,,,EBD,,,,,,,,HHC,,,,,,,,,,,,,,,
HYUNDAI GRAND I10,1.2 L GLS,51 950 DT,Non,,Sur arrivage,Citadine,5 ans,5,5,4,Essence,5 CV,83 CH,113 nm 4000 tr/min,1197 CM³,Manuelle,5,Traction,3805 mm,1680 mm,1510 mm,260 L,12.3 s,165 KM/H,6.9 L/100 km,4.7 L/100 km,5.5 L/100 km,,Frontaux,,,Chromée,Poignées de portes,,En aluminium | 15'',,4 haut-parleurs | Commandes au volant,USB | AUX | Bluetooth,,,,,Cuir,Tissu,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur,Manuelle,À distance,Électriques | Rabattables,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/grand-i10/1.2-l-gls-2024#specs,,,,,,,Électrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYUNDAI GRAND I10 SEDAN
1.2 L",Version unique,à partir de 62 980 DT,Non,,Sur arrivage,Berline,5 ans,5,4,4,Essence,5 CV,83 CH,113 nm 4000 tr/min,1197 CM³,Manuelle,5,Traction,3995 mm,1680 mm,1510 mm,407 L,12.3 s,165 KM/H,6.9 L/100 km,4.7 L/100 km,5.5 L/100 km,,Frontaux,,,,Poignées de portes,,En aluminium | 15'',,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale,Tactile | 8 pouces,,,,Cuir,Tissu,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur,Manuelle,À distance,Électriques | Rabattables,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/grand-i10-sedan/1.2-l-2024,Radar de recul | Caméra de recul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DACIA SANDERO
1.0 L TCE",Version unique,,Non,,Disponible,Citadine,2 ans,5,5,3,Essence,5 CV,100 CH,170 nm 2000 tr/min,999 CM³,Manuelle,5,Traction,4057 mm,1733 mm,1523 mm,320 L,11.9 s,177 KM/H,7.1 L/100 km,5.1 L/100 km,5.8 L/100 km,,Frontaux,,,,,,15'',,Commandes au volant,USB | Bluetooth,Tactile,,,,,Tissu,,,,En hauteur et en profondeur,Manuelle,À distance,,Avant,https://www.automobile.tn/fr/neuf/dacia/sandero/1.0-l-tce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TATA XENON X2 SIMPLE CABINE
2.2L TURBO",Version unique,à partir de 69 900 DT,Non,,Disponible,Pick up,3 ans,2,2,4,Diesel,7 CV,150 CH,320 nm 1500 tr/min,2179 CM³,Manuelle,5,Propulsion,5312 mm,1860 mm,1788 mm,,N.C,160 KM/H,9.1 L/100 km,6.6 L/100 km,7.6 L/100 km,,,,,,,,16'',,,,,,,,,Tissu,,,,,Manuelle,À distance,,Avant,https://www.automobile.tn/fr/neuf/tata/xenon-x2/2.2l-turbo,,,,,,,,,,,,,,,,,,,,1210 KG,,,,,,,,,,,,,,,,,,,
CHERY ARRIZO 5,1.5 L Comfort BVM,59 490 DT,Oui,63.490 DT,Disponible,Berline,5 ans ou 150000 km,5,4,4,Essence,7 CV,115 CH,141 nm 3800 tr/min,1499 CM³,Manuelle,5,Traction,4690 mm,1825 mm,1482 mm,430 L,12.4 s,180 KM/H,N.C,N.C,6.4 L/100 km,,Frontaux | Latéraux,ESP | ASR | TCS,,Chromée,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 16'',,2 haut-parleurs | Commandes au volant,2 USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 8 pouces,Avant | Arrière,3,,,Similicuir,Conducteur et passager,,3 branches | Multi-fonctions | à méplat,En hauteur,Automatique,À distance,Électriques | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/chery/arrizo-5/1.5-l-bvm#specs,Radar de recul | Caméra de recul,,,,,,,,,,,,,,,EBD,,,,,,,,,,,,Métallisée,,,,,,,TPMS,,,,
"RENAULT EXPRESS VAN
1.5 L DCI",Version unique,N/A,Non,,Disponible,Utilitaire,2 ans ou 100.000 km,2,4 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,4,Diesel,5 CV,95 CH,240 nm 1750 tr/min,1461 CM³,Manuelle,6,Traction,4363 mm,1751 mm,1842 mm,,13 s,163 KM/H,,,6.1 L/100 km,,Frontaux,,,,,Feux de jour,15'',,Commandes sous le volant,USB | Bluetooth,,,,,,Tissu,,,,,Manuelle,À distance,Électriques,Avant,https://www.automobile.tn/fr/neuf/renault/express-van/diesel,,,,1 prise 12 V,,,,,,,,,,,,AFU,,,,750 KG,3.3 m³,,,,,,,,,,,,,,,,,,Tapis de coffre PVC
"DACIA LOGAN
1.0 L TCE ÉCRAN TACTILE",Version unique,à partir de 56 950 DT,Non,,Disponible,Berline,2 ans ou 100.000 km,5,4,3,Essence,5 CV,100 CH,160 nm 2000 tr/min,999 CM³,Manuelle,5,Traction,4396 mm,1848 mm,1501 mm,528 L,12.4 s,180 KM/H,,,5.5 L/100 km,,Frontaux,,,,,,15'',,,,Tactile,,,,,Velours/Tissu,,,,En hauteur et en profondeur,Manuelle,À distance,,Avant,https://www.automobile.tn/fr/neuf/dacia/logan/1.0-l-tce-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361 L,,,,,,,,,,
OPEL COMBO CARGO,1.6 L Diesel Confort L1H1 650 kg,62 990 DT,Oui,63.990 DT,1 mois,Utilitaire,3 ans ou 100.000 km,2,3 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,4,Diesel,5 CV,92 CH,230 nm 1750 tr/min,1560 CM³,Manuelle,5,Traction,4403 mm,1921 mm,1796 mm,,13.4 s,177 KM/H,5.4 L/100 km,4.6 L/100 km,4.8 L/100 km,127 g/km,Frontaux,ESP,,,,,15'',,4 haut-parleurs,USB | Android Auto | Apple Carplay | Bluetooth | Mirrorlink,Tactile | 10 pouces,Avant conducteur,,,,Tissu,Conducteur,,3 branches | Multi-fonctions | Sport,En hauteur et en profondeur,Manuelle,À distance,Électriques | Dégivrants,Avant,https://www.automobile.tn/fr/neuf/opel/combo/1.6-l-diesel-24-confort-l1h1-650-kg#specs,,,,,,,,,Réglage lombaire | Conducteur confort,,,,,,,,,,,650 KG,3.3 m³,,,,,,,Métallisée +1000 DT,,,,,,,,,,,Tapis de coffre PVC
DACIA SANDERO STEPWAY,1.0 L,62 990 DT,Non,,Disponible,SUV,2 ans ou 100.000 km,5,5,3,Essence,6 CV,100 CH,170 nm 2100 tr/min,999 CM³,Manuelle,5,Traction,4099 mm,1784 mm,1580 mm,328 L,11.9 s,177 KM/H,,,7.2 L/100 km,,Frontaux,,,,Pare-chocs | Rétroviseurs,,16'',,Media Control,USB | Android Auto | Bluetooth,Tactile | 8 pouces,,,,,Tissu,Conducteur,,Multi-fonctions,En hauteur et en profondeur,Manuelle,À distance,,Avant,https://www.automobile.tn/fr/neuf/dacia/sandero-stepway/1.0-l#specs,,,,,,,,,,,,,,,,,,,,,,,,,Eco,,,,,,,,,,,,,,
"MAHINDRA PICK-UP SC
2.2 L DIESEL 4X4 PLATEAU SIMPLE",Version unique,à partir de 69 900 DT,Non,,Disponible,Pick up,5 ans ou 100000 km,2,2,4,Diesel,7 CV,140 CH,320 nm 1500 tr/min,2179 CM³,Manuelle,6,Intégrale,5175 mm,1820 mm,1860 mm,,N.C,165 KM/H,,,7.9 L/100 km,,Frontaux,,,Chromée | Noire,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Arrières,16'',,2 haut-parleurs | Commandes au volant,USB | AUX | Bluetooth,,Avant,,Porte-lunettes,,Tissu,Conducteur,,,En hauteur,Manuelle,À distance,Électriques,Avant,https://www.automobile.tn/fr/neuf/mahindra/pick-up-sc/2.2-l-diesel-4x4-plateau-simple,,,,2 prises 12 V,,,,,,,,,,,,EBD,,,,1250 KG,,,,,,,,,,,,,,,,,,,
MG 5,1.5 L Confort,63 950 DT,Non,,Disponible,Berline,3 ans ou 100.000 km,5,4,4,Essence,6 CV,120 CH,142 nm 4500 tr/min,1498 CM³,Manuelle,5,Traction,4607 mm,1818 mm,1489 mm,406 L,N.C,193 KM/H,,,5.8 L/100 km,,Frontaux,ESP,,,,Feux de jour,15'',,Commandes au volant,Android Auto | Apple Carplay | Bluetooth,Tactile | 10.25 pouces,Avant,3,,,Tissu,,,Multi-fonctions,En hauteur,Automatique,À distance,Électriques,Avant/Arrière,https://www.automobile.tn/fr/neuf/mg/5/1.5-l-2025-confort#specs,Radar de recul,,,,,,,,,,,,,,,Freinage automatique anti-collision (AEB),,,,,,,,,,,,,,,,,Ouverture à distance,,,,,,
PEUGEOT PARTNER,1.6 L HDI 650 Kg,63 990 DT,Oui,64.990 DT,10 jours,Utilitaire,3 ans,2,3 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,4,Diesel,5 CV,92 CH,215 nm 1750 tr/min,1560 CM³,Manuelle,5,Traction,4403 mm,1848 mm,1825 mm,,13.4 s,160 KM/H,5.1 L/100 km,4.3 L/100 km,4.8 L/100 km,,Frontal conducteur,ESP,,,,Feux de jour,15'',,Radio numérique DAB,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Mirrorlink,Tactile | 10 pouces,,,,,Tissu,,,,En hauteur et en profondeur,Manuelle,À distance,Électriques | Dégivrants,Avant,https://www.automobile.tn/fr/neuf/peugeot/partner/1.6-l-hdi-90ch-24-650-kg#specs,,,,,,,Électrique,,,,,,,,,,,,,650 KG,3.3 m³,,,,,,,,,,,,,,,,,,Tapis de coffre PVC
