Modèle,Version,Prix,Promo,DISPONIBILITÉ,CARROSSERIE,GARANTIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,VOLUME DU COFFRE,VOLUME DU COFFRE MAXIMAL,0-100 KM/H,VITESSE MAXI,CONSOMMATION MIXTE,AIRBAGS,ANTI-PATINAGE,ASSISTANCE AU FREINAGE,CONTRÔLE DE PRESSION DES PNEUS,AIDE AU DÉMARRAGE EN CÔTE,AIDE AU STATIONNEMENT,CONTRÔLE DE STABILITÉ ANTI-RETOURNEMENT,SYSTÈME DE DESCENTE EN CÔTE,FEUX À LED,JANTES,PHARES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,APPUIS TÊTES ARRIÈRES,SELLERIE,SIÈGES,SIÈGES RÉGLABLES EN HAUTEUR,TOIT,VOLANT,VOLANT RÉGLABLE,ALIMENTATION ÉLECTRIQUE,COFFRE À BAGAGES,CLIMATISATION,FERMETURE CENTRALISÉE,FREIN DE STATIONNEMENT,MODES DE CONDUITE,RÉTROVISEURS EXTÉRIEURS,INSTRUMENTATION DIGITALE,VITRES ÉLECTRIQUES,URL,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,ALARME ANTIVOL,ALERTE DE RISQUE DE COLLISION,BARRE STABILISATRICE,AIDE AU MAINTIEN DANS LA VOIE,CONDUITE AUTONOME,DIRECTION ASSISTÉE,RÉGULATEUR DE VITESSE,RECONNAISSANCE DES PANNEAUX,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,PEINTURE,POIGNÉES DE PORTES,POMMEAU DE LEVIER DE VITESSE,BOUTON START & STOP,CLÉ INTELLIGENTE,CALANDRE,FINITION INTÉRIEURE,VITRES,PUISSANCE THERMIQUE (CH.DIN),PUISSANCE ÉLECTRIQUE,BATTERIE,COUPLE ÉLECTRIQUE,AUTONOMIE ÉLECTRIQUE (WLTP),AUTONOMIE ÉLECTRIQUE (NEDC),KIT SÉCURITÉ,BAGUETTES EXTÉRIEURES D'ENCADREMENT DES VITRES,KIT RANGEMENT,ANTIBROUILLARDS,ORDINATEUR DE BORD,RÉTROVISEUR INTÉRIEUR,EMISSIONS DE CO2,CONSOMMATION ÉLECTRIQUE (WLTP),TEMPS DE RECHARGE NORMALE (AC),TEMPS DE RECHARGE RAPIDE (DC),ALERTE DE FRANCHISSEMENT DE LIGNE,ALERTE DE CIRCULATION TRANSVERSALE,ASSISTANT DE FEUX DE ROUTE,SURVEILLANCE D’ANGLE MORT,SEUILS DE PORTES,BARRES DE TOIT,CHARGE UTILE,TABLEAU DE BORD,SPOILER ARRIÈRE,Ancien Prix,NOMBRE DE MOTEURS ÉLECTRIQUES,VOLUME DU COFFRE AVANT,CAPACITÉ DE RECHARGE MAXIMALE (AC),LUMIÈRES D'AMBIANCE,PÉDALIERS,DIFFÉRENTIEL AUTOBLOQUANT,CONTRÔLE DU ROULIS DE LA REMORQUE,LIMITEUR DE VITESSE,KIT CARROSSERIE,NAVIGATION,CONNECTED DRIVE,TAPIS DE SOL,DÉTECTEUR DE FATIGUE,VOLUME UTILE,ARCEAU DE BENNE,MARCHEPIEDS LATÉRAUX,BOULE D'ATTELAGE,CAMÉRA D'ANGLE MORT,TRAIN ROULANT,SURFACE DE CHARGEMENT,CIEL DE PAVILLON,SORTIES D’ÉCHAPPEMENT,FREINAGE,SUSPENSION,PORTES EN ÉLYTRE,STORES PARE-SOLEIL
MG 7,1.5 L Turbo Luxury BVA,109 950 DT,Non,Sur arrivage,Berline,3 ans ou 100.000 km,5,4,4,Essence,9 CV,188 CH,300 nm 4000 tr/min,1498 CM³,Automatique,7,Traction,4884 mm,1889 mm,1447 mm,406 L,,9.8 s,210 KM/H,7.1 L/100 km,Frontaux | Latéraux | Rideaux,ESP | CBC,EBA | EBD,,Autohold,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Avant,En aluminium | 18'',LED,,Android Auto | 4 USB-C | Apple Carplay | Bluetooth,Tactile | 10.25 pouces,Avant,,Cuir,Conducteur à réglage électrique,Conducteur,,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,,,Automatique | Bizone,À distance,Éléctrique | EPB,Normal | Sport | Eco | Supersport,Électriques,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/mg/7/1.5-l-turbo-bva-luxury#specs,,,,,,,,,,,,,,,Démarrage mains libres,Accès mains libres,,,,,,,,,,,,,,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GWM POER MT
2.0 L DIESEL 4X4",Version unique,112 900 DT,Non,Disponible,Pick up,3 ans ou 100.000 km,5,5,4,Diesel,11 CV,163 CH,400 nm 1500 tr/min,1996 CM³,Manuelle,6,Intégrale,5362 mm,1883 mm,1882 mm,,,N.C,N.C,10.4 L/100 km,Frontaux | Latéraux,ESP,EBA | EBD,,,Radar de recul | Caméra de recul,,,Feux de jour,En aluminium | 17'',,6 haut-parleurs,2 USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 9 pouces,Avant,,Similicuir,Conducteur à réglage électrique,,,Multi-fonctions,En hauteur,,,Automatique,À distance,,,Électriques | Rabattables | Avec clignotants intégrés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/great-wall/poer/2.0-l-diesel-4x4,11.5 L/100 km,8.9 L/100 km,,,,,,,,,Pare-chocs | Poignées de portes | Rétroviseurs,,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,,,Lunette et vitres arrières sur-teintées,,,,,,,,,,,,Anti-éblouissement,,,,,,,,,,,,Similicuir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAW BESTUNE T77 PRO,1.5 l Luxury BVA,113 777 DT,Non,Disponible,SUV,5 ans ou 150000 km,5,5,4,Essence,9 CV,160 CH,258 nm 1500 tr/min,1498 CM³,Automatique,7,Traction,4525 mm,1845 mm,1615 mm,342 L,1350 L,10.5 s,192 KM/H,7.1 L/100 km,Frontaux | Latéraux,ESC | ESP | TCS,EBA | EBD | VDR,TPMS,Autohold,Radar de recul | Caméra de recul,,HDC,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED,6 haut-parleurs | Commandes au volant,2 USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 12.3 pouces,Avant,3,Cuir perforé,Conducteur à réglage électrique | 6 directions | Chauffants | Avec Appuie-tête intégrés | Baquets,Conducteur,Ouvrant | Panoramique | En verre,Cuir | 3 branches | Multi-fonctions | Sport | à méplat,En hauteur et en profondeur,1 prise 12 V,Ouverture mains libres | Ouverture à distance,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,i-cockpit | 8 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/faw/bestune-t77/1.5-l-160-ch#specs,,,,,,,,Électrique,,,Pare-chocs | Rétroviseurs,Métallisée | Nacrée,Chromées,Cuir,Démarrage mains libres,Accès mains libres,Chromée,Noir brillant | Chromée | Effet bois,Lunette et vitres arrières sur-teintées,,,,,,,Triangle de présignalisation,Chrome,Poches aumônières | Porte-lunettes,,,Anti-éblouissement | Sans Cadre,,,,,,,,,,Chromées,,,Noir,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GEELY AZKARRA
1.5 L TURBO MILD HYBRID 4WD",Version unique,113 800 DT,Non,Disponible,SUV,5 ans ou 150000 km,5,5,3,Essence | Hybride léger,9 CV,149 CH,300 nm 1500 tr/min,1477 CM³,Automatique,7,Intégrale,4544 mm,1831 mm,1713 mm,378 L,,9.9 s,200 KM/H,5.8 L/100 km,Frontaux | Latéraux | Rideaux,ESC | TCS,AFU | EBD | HBA | VDC,TPMS,HHC,Radar de recul | Radar avant | Système de caméras 360,RMI,HDC,Avant | Arrières,En aluminium | 18'',Full LED,4 haut-parleurs,Android Auto | 4 USB | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil | Mirrorlink,Tactile | 12.3 pouces,Avant | Arrière,,Cuir | Nappa,Conducteur à réglage électrique | 6 directions,Conducteur,Ouvrant | Panoramique,Cuir | Multi-fonctions | Sport,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,Éléctrique,Confort | Sport | Eco | Offroad,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,7 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/geely/azkara/1.5-l-turbo-hybrid,,,,,,,,,,,,,Chromées,,Démarrage mains libres,Accès mains libres,Chromée,,,,13 CH,,,,,,Chrome,,,,Anti-éblouissement,,,,,,,,,Acier inoxydable,Chromées,,Similicuir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MG HS HYBRID+
1.5L TURBO",Version unique,114 950 DT,Non,Sur arrivage,SUV,5 ans ou 100000 km,5,5,4,Essence | Hybride,7 CV,224 CH,230 nm 1500 tr/min,1496 CM³,Automatique,2,Traction,4670 mm,1890 mm,1663 mm,441 L,1291 L,7.9 s,190 KM/H,5.5 L/100 km,Frontaux | Latéraux | Rideaux,TCS | CBC,EBD | Freinage automatique anti-collision (AEB) | VDC | BDW | HAZ,TPMS,HHC,Radar de recul | Radar avant | Système de caméras 360,ARP,HDC,Feux de jour | Avant | Arrières,En aluminium | 19'',LED,8 haut-parleurs | Commandes au volant | Radio numérique DAB,Android Auto | 4 USB | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Avant | Arrière,3,Cuir,Électriques | Chauffants | Réglage lombaire | Fonction mémoire,Conducteur,Ouvrant | Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées | Ouverture mains libres,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Normal | Sport | Eco | EV Mode,Électriques | Rabattables | Avec clignotants intégrés,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/mg/hs-hybridplus/1.5l-turbo,,,,,,,,,Adaptatif (ACC),,,,,,,,,,,143 CH,198 CH,1.83 kWh,340 nm,,,,,,,,,126 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN GOLF 8,1.4 L TSI Drive,117 980 DT,Non,Disponible,Compacte,3 ans,5,5,4,Essence,8 CV,150 CH,250 nm 1400 tr/min,1395 CM³,Automatique,8,Traction,4396 mm,1789 mm,1491 mm,381 L,,8.2 s,215 KM/H,5 L/100 km,Frontaux | Latéraux | Rideaux,ESP,,,,Caméra de recul,,,Feux de jour | Arrières,En aluminium | 16'',LED,4 haut-parleurs,USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil | Mirrorlink,Tactile | 8 pouces,Avant,3,Tissu,,Conducteur,,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,,,Automatique,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Dégivrants | Avec clignotants intégrés,Digital Cockpit,Avant/Arrière,https://www.automobile.tn/fr/neuf/volkswagen/golf-8/1.4-l-tsi-drive#specs,5.9 L/100 km,4.5 L/100 km,,,,,,,,,,,,,Démarrage mains libres,,,,Parebrise athermique | Lunette et vitres arrières sur-teintées,,,,,,,,,,,,Anti-éblouissement,118 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DONGFENG FORTHING T5 EVO
1.5 L TURBO",Version unique,118 900 DT,Non,Disponible,SUV,5 ans ou 100000 km,5,5,4,Essence,9 CV,176 CH,260 nm 1500 tr/min,1500 CM³,Automatique,7,Traction,4565 mm,1860 mm,1690 mm,480 L,1480 L,9.5 s,240 KM/H,6.9 L/100 km,Frontaux | Latéraux | Rideaux,ESP | TCS,EBA | EBD | VDC,,HAC,Radar de recul | Radar avant | Système de caméras 360,,HDC,Feux de jour | Avant | Arrières,En aluminium | 19'',Full LED,6 haut-parleurs | Commandes au volant,3 USB | Android Auto | Bluetooth | Commande vocale,Tactile | 10.25 pouces,Avant | Arrière,3,Similicuir perforé,Électriques | 8 directions | Chauffants | Réglage lombaire,Conducteur,Ouvrant | Panoramique | En verre,Cuir | Multi-fonctions | Sport | à méplat | Avec palettes,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées | Ouverture mains libres | Cache Bagages | Ouverture à distance,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/dongfeng/t5-evo/1.5-l-turbo,,,,,,,,EPS,Adaptatif (ACC),,Pare-chocs | Poignées de portes | Rétroviseurs,Métallisée,,Cuir,Démarrage mains libres,Accès mains libres,Noire,Noir brillant | Chromée,Lunette et vitres arrières sur-teintées,,,,,,,,Chrome,Porte-lunettes,,,Anti-éblouissement,,,,,,,,,,Noires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GAC EMKOO
1.5T GDI GL BVA",Version unique,118 900 DT,Non,Disponible,SUV,5 ans ou 150000 km,5,5,4,Essence,9 CV,170 CH,250 nm 1400 tr/min,1497 CM³,Automatique,7,Traction,4680 mm,1901 mm,1670 mm,420 L,,N.C,N.C,6.6 L/100 km,Frontaux | Latéraux | Rideaux,ESP,HBA | Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB),,HHC,Radar de recul | Radar avant | Système de caméras 360,,HDC,Feux de jour | Avant | Arrières,En aluminium | 19'',Full LED | Adaptatifs,6 haut-parleurs,2 USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 10.1 pouces,Avant,3,Similicuir,Électriques | 6 directions | Ventilés | Sport,Conducteur,Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables,,Avant/Arrière,https://www.automobile.tn/fr/neuf/gac-motor/emkoo/1.5t-gdi-bva,,,Périmétrique,FCW,Avant | Arrière,LKA,Niveau 2,Électrique,Adaptatif (ACC),TSR,Pare-chocs | Poignées de portes | Rétroviseurs,Métallisée,Escamotables | Ouverture à l'approche,,Démarrage mains libres,Accès mains libres | Démarrage à distance,,,,,,,,,,,,,,,,,,,,LDW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYUNDAI CRETA
1.5 L BVA",Version unique,118 950 DT,Non,Sur arrivage,SUV,5 ans ou 100000 km,5,5,4,Essence,6 CV,113 CH,144 nm 4500 tr/min,1491 CM³,Automatique,6,Traction,4315 mm,1790 mm,1630 mm,402 L,,11.5 s,195 KM/H,6.1 L/100 km,Frontaux | Latéraux | Rideaux,ESP,Freinage automatique anti-collision (AEB),,HAC,Radar de recul | Caméra de recul,,,Feux de jour | Avant | Arrières,En aluminium | 17'',LED,Haut-parleurs Bose | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 8 pouces,Avant | Arrière,,Cuir,Ventilés,,Ouvrant | Panoramique,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,2 prises 12 V,,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Confort | Sport | Eco,Électriques | Rabattables | Avec clignotants intégrés,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/creta/1.5-l-bva,7.8 L/100 km,5.1 L/100 km,,,,LKA | LFA,,Électrique,Smart Cruise,,,,Aluminium,Cuir,Démarrage mains libres,Accès mains libres,,,,,,,,,,,,,,,Anti-éblouissement,,,,,,,,RCCA,,,,Cuir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JETOUR X70 PLUS
1.5 TURBO",Version unique,119 500 DT,Non,Disponible,SUV,5 ans ou 150000 km,7,5,4,Essence,9 CV,147 CH,230 nm 1750 tr/min,1498 CM³,Automatique,6,Traction,4727 mm,1900 mm,1720 mm,890 L,,9.2 s,195 KM/H,7.8 L/100 km,Frontaux | Latéraux,ESP | TCS,BAS | EBD,TPMS,,Radar de recul | Radar avant | Système de caméras 360,,HDC,Feux de jour | Avant | Arrières,En aluminium | 20'',,Commandes au volant,USB | Bluetooth | Wifi,Tactile | 10.25 pouces,Avant,,Cuir perforé,Conducteur à réglage électrique,,Ouvrant | Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,,Ouverture et fermeture motorisées,Automatique | Ventilation arrière,À distance,,Sport | Eco,Électriques | Rabattables | Avec clignotants intégrés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/jetour/x70-plus/1.5-turbo,,,,,,,,,,,,Métallisée,,,Démarrage mains libres,Accès mains libres,Chromée,,,,,,,,,,Chrome,,,,,,,,,,,,,,Chromées,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TOYOTA YARIS CROSS HYBRIDE
1.5 L CVT",Version unique,119 800 DT,Non,Disponible,SUV,3 ans ou 100.000 km | Batterie garantie 5 ans ou 150.000 km,5,5,3,Essence | Hybride,5 CV,116 CH,120 nm 3600 tr/min,1490 CM³,Automatique,,Traction,4180 mm,1765 mm,1595 mm,397 L,1097 L,11.2 s,170 KM/H,4.4 L/100 km,Frontaux | Latéraux | Rideaux,VSC,,,,Caméra de recul,,,Clignotants à défilement,En aluminium | 17'' | Noires,Full LED,Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile,Avant | Arrière,,Cuir/Tissu,Chauffants,Conducteur,,Cuir | Multi-fonctions,En hauteur et en profondeur,,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco | EV Mode,Électriques | Rabattables,,Avant/Arrière,https://www.automobile.tn/fr/neuf/toyota/yaris-cross/1.5-l-cvt-2023,,,,,,,,,,,Poignées de portes,,,,Démarrage mains libres,Accès mains libres,,,Lunette et vitres arrières sur-teintées,,,,,,,,,,,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOLVO EX30,Single Motor Core,119 900 DT,Oui,Disponible,SUV,3 ans ou 100.000 km | Batterie garantie 8 ans,5,5,,Electrique,5 CV,272 CH,343 nm 0 tr/min,,Automatique,,Propulsion,4233 mm,1837 mm,1549 mm,325 L,904 L,5.7 s,180 KM/H,,Frontaux | Latéraux | Rideaux | Genoux conducteur,,Freinage automatique anti-collision (AEB),,,Radar de recul | Radar avant | Caméra de recul | Parkassist | Détection du trafic en marche arrière,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Adaptatifs | LED,5 haut-parleurs | Commandes au volant,"USB-C | Apple Carplay | Bluetooth | Commande vocale | Digital Services (Google Assistant, Google Maps, Youtube)",Tactile | 12.3 pouces,Avant,3,Nordico,,Conducteur et passager,,Similicuir | Multi-fonctions | Sport,En hauteur et en profondeur,,,Automatique,À distance,Éléctrique,,Électriques | Rabattables | Dégivrants,,Avant/Arrière,https://www.automobile.tn/fr/neuf/volvo/ex30/single-motor#specs,,,,,,,,Adaptative,Adaptatif (ACC),TSR,Pare-chocs | Poignées de portes | Rétroviseurs,Métallisée,,,,,,Incrustations en Topographie,Lunette et vitres arrières sur-teintées,,,51 kWh,,344 km,,Triangle de présignalisation | Trousse de premiers secours,Noir Brillant,,LED,,Anti-éblouissement,,16.7 kWh/100 km,6 heures,26 minutes,,,,,Aluminium,,,,,124.900 DT,1,7 L,11 kwh,,,,,,,,,,,,,,,,,,,,,,,
"CHERY ARRIZO 8
1.6 T-GDI LUXURY BVA",Version unique,119 900 DT,Non,Disponible,Berline,7 ans ou 200000 km,5,4,4,Essence,10 CV,185 CH,275 nm 2000 tr/min,1598 CM³,Automatique,7,Traction,4757 mm,1832 mm,1471 mm,520 L,,9.8 s,195 KM/H,6.2 L/100 km,Frontaux | Latéraux | Rideaux | Genoux,ESP,EBA | EBD,,,Radar de recul | Radar avant | Système de caméras 540°,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Matrix LED,12 haut-parleurs | Commandes au volant | Sony,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Wifi | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Avant | Réfrigéré | Arrière,3,Cuir perforé,Électriques | Chauffants | Ventilés | Fonction mémoire,Conducteur et passager,Ouvrant | Panoramique,Cuir | Chauffant | Multi-fonctions | Avec palettes,En hauteur et en profondeur,,,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/chery/arrizo-8/1.6-t-gdi-bva,,,,,,,Niveau 2,,Adaptatif (ACC),,Pare-chocs | Poignées de portes | Rétroviseurs,,,,Démarrage mains libres,Accès mains libres,,,,,,,,,,,Chrome,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,
"HONDA HR-V
1.5 L CVT EX",Version unique,119 900 DT,Non,Disponible,SUV,3 ans ou 100.000 km,5,5,4,Essence,7 CV,119 CH,145 nm 4300 tr/min,1498 CM³,Automatique,,Traction,4385 mm,1790 mm,1581 mm,335 L,,11.4 s,187 KM/H,6.1 L/100 km,Frontaux | Latéraux | Rideaux,VSA,EBA | EBD | ESS,,HSA,Caméra de recul,,HDC,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED,4 haut-parleurs | Commandes au volant,Android Auto | 4 USB | Apple Carplay | Bluetooth | Commande vocale,Tactile | 8 pouces,Avant | Arrière,3,Cuir perforé,,Conducteur,Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,,Automatique | Ventilation arrière,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables | Avec clignotants intégrés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/honda/hr-v/1.5-l-cvt-ex-2023,7.5 L/100 km,5.4 L/100 km,,,,,,EPS | Électrique,,,,,,Cuir,,Accès mains libres,Noire,Chromée,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KIA SELTOS
1.4 T-GDI TOP GRADE",Version unique,120 980 DT,Non,Disponible,SUV,5 ans,5,5,4,Essence,8 CV,140 CH,242 nm 1500 tr/min,1353 CM³,Automatique,7,Traction,4385 mm,1800 mm,1630 mm,433 L,,10.8 s,185 KM/H,6.1 L/100 km,Frontaux | Latéraux | Rideaux,ESC,,,HAC,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Avant | Arrières,En aluminium | 17'',Full LED,,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,Avant,,Cuir artificiel,Conducteur à réglage électrique | Ventilés,Conducteur,Ouvrant | Panoramique,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,,,Automatique | Bizone,À distance,Éléctrique,Confort | Sport | Eco,Électriques | Rabattables,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/kia/seltos/1.4-t-gdi-top-grade,7.5 L/100 km,5.3 L/100 km,Périmétrique,,,,,Électrique,,,,,,Cuir,Démarrage mains libres,Accès mains libres,Chromée,,Teintées,,,,,,,,Chrome,,LED,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,Métal Brillant,,,,,,,,,,,,,,,,,,,,,
"SSANGYONG KORANDO
1.5 L GDI LIMITED BVA",Version unique,122 980 DT,Non,Disponible,SUV,3 ans,5,5,4,Essence,9 CV,163 CH,280 nm 1500 tr/min,1497 CM³,Automatique,6,Traction,4450 mm,1870 mm,1620 mm,551 L,,12 s,188 KM/H,7 L/100 km,Frontaux | Latéraux,ESP,,,,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Avant | Arrières,En aluminium | 19'',Full LED,6 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | iPod | Chargeur de téléphone sans fil,Tactile | 8 pouces,Avant | Arrière,,Cuir | Nappa,Électriques | Chauffants | Ventilés,Conducteur et passager,Ouvrant,Cuir | Avec palettes,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Winter,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés | Éclairage d'accueil à LED,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/ssangyong/korando/1.5-l-gdi-limited-bva,8.3 L/100 km,6.4 L/100 km,,,,,,Électrique,Cruise control,,Poignées de portes | Rétroviseurs,,,,Démarrage mains libres,Accès mains libres,Chromée,Chromée,Teintées | Lunette et vitres arrières sur-teintées,,,,,,,,Chrome,,,Ecran TFT 10.25'',Anti-éblouissement,162 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHANGAN HUNTER
1.9 L TURBO DIESEL 4X4",Version unique,123 046 DT,Non,Indisponible,Pick up,3 ans ou 100.000 km,5,4,4,Diesel,6 CV,150 CH,350 nm 1800 tr/min,1910 CM³,Manuelle,6,Intégrale,5330 mm,1930 mm,1835 mm,,,15.8 s,171 KM/H,8 L/100 km,Frontaux | Latéraux,ESP,EBD,,HAC,Radar de recul | Caméra de recul,,HDC,Feux de jour,En aluminium | 17'',,6 haut-parleurs | Commandes au volant,3 USB | Bluetooth,Tactile | 10 pouces,Avant | Arrière,,Cuir,Électriques | Réglage lombaire,Conducteur,,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,,Automatique | Ventilation arrière,À distance,,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/changan/hunter/1.9-l-turbo-diesel-4x4,,,,,,,,,,,Pare-chocs | Rétroviseurs,,Chromées,,Démarrage mains libres,Accès mains libres,Chromée,,,,,,,,,,,,,,Anti-éblouissement,,,,,,,,,,,980 KG,,,,,,,,,Arrière,,,,,,,,,,,,,,,,,,,,
"TOYOTA HILUX SIMPLE CABINE
2.4 L DIESEL D-4D 4X4",Version unique,123 800 DT,Non,Disponible,Pick up,3 ans ou 100.000 km,2,2,4,Diesel,8 CV,150 CH,400 nm 1600 tr/min,2393 CM³,Manuelle,6,Intégrale,5325 mm,1800 mm,1795 mm,,,13.2 s,170 KM/H,7 L/100 km,Frontaux | Genoux conducteur,VSC,,,HAC,,,,,17'',,,,,,,Tissu,,,,Multi-fonctions,En hauteur,,,Manuelle,À distance,,,Électriques,,Avant,https://www.automobile.tn/fr/neuf/toyota/hilux-simple-cabine/2.4-l-diesel-d-4d-4x4,8.2 L/100 km,6.3 L/100 km,,,,,,Adaptative,,,,,,,,,Chromée,,,,,,,,,,,,,,,,,,,,,,,,,1125 KG,,,,,,,,,Arrière,TSC,,,,,,,,,,,,,,,,,,,
