Nom,Description,Prix,Référence,Main,Kilométrage,Catégorie,1ère Immat.,Puissance Fiscale,Moteur,Carburant,Consommation,Transmission,URL
Dongfeng S50,1.5 l,"47,000 DT",814,1ere main,42 500 Km,Berline,Décembre 2019,6 cv,120 cv,Essence,6.9 L/100KM,Manuelle,https://www.sparkauto.tn/listing-detail/79/DongfengS50
BMW Série 4,420 i,"92,500 DT",657,N/A,77 000 Km,Berline,Juin 2015,10 cv,184 cv,Essence,6.6 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/78/BMWserie4
Mercedes GLA,GLA 200,"89,000 DT",860,2ème main,95 500 Km,SUV,Avril 2016,8 cv,156 cv,Essence,5.8 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/77/MercedesGLA
Renault Clio,1.0 TCe,"43,000 DT",912,1ere main,77 000 Km,Coupé,Juillet 2020,5 cv,90 cv,Essence,5 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/76/RenaultClio
Mercedes classe C,Kit Sport AMG,"92,000 DT",913,N/A,163 000 Km,Berline,Janvier 2015,8 cv,156 cv,Essence,5.4 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/75/MercedesclasseC
Mazda 3,1.5 l,"46,000 DT",584,N/A,133 000 Km,Citadine,Mai 2017,6 cv,120 cv,Essence,5.1 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/73/Mazda3
Peugeot 2008,1.2,"41,500 DT",402,1ere main,134 000 Km,SUV,Aout 2017,6 cv,110 cv,Essence,4.8 L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/67/Peugeot2008
Audi Q2,30 TFSI,"84,000 DT",264,1ere main,85 000 Km,SUV,Février 2019,6 cv,116 cv,Essence,5.2 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/64/AudiQ2
Ford Fiesta,1.0 l,"42,500 DT",118,1ere main,90 000 Km,Citadine,Janvier 2020,4 cv,75 cv,Essence,4.9 L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/61/FordFiesta
Chery Tiggo 3,1.6 l,"42,500 DT",204,1ere main,103 000 Km,SUV,Mars 2019,8 cv,126 cv,Essence,6.7L/100KM,Manuelle,https://www.sparkauto.tn/listing-detail/59/CheryTiggo3
Mercedes Classe A,180 AMG,"80,000 DT",194,1ere main,160 000 Km,Compact,Mars 2017,6 cv,122 cv,Essence,5.2 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/58/MercedesClasseA
Peugeot 4008,Allure 4X4,"75,000 DT",162,"1ère main, 4X4",82 000 Km,SUV,Septembre 2020,8 cv,140 cv,Diesel,5.6 L/100,Manuelle,https://www.sparkauto.tn/listing-detail/56/Peugeot4008
Ford Focus,Titanium EcoBoost,"39,900 DT",74,N/A,152 000 Km,Compact,Novembre 2015,6 cv,125 cv,Essence,4.7 L/100,Manuelle,https://www.sparkauto.tn/listing-detail/51/FordFocus
BMW X2,18i PACK M SPORT,"155,000 DT",69,1ère main,31 000 Km,SUV,Dec 2022,8 cv,140 cv,Essence,5.6 L/100,Automatique,https://www.sparkauto.tn/listing-detail/50/BMWX2
Mercedes GLB 200,Pack Sport AMG,"175,000 DT",59,1ère main,50 000 Km,SUV,Juin 2022,9 cv,163 cv,Essence,6.2 L/100 km,Automatique,https://www.sparkauto.tn/listing-detail/46/MercedesGLB200amg
Suzuki Vitara,All Grip,"62,000 DT",35,N/A,116 000 Km,SUV,Mars 2017,5cv,4 Cylindres,Essence,7L,Automatique,https://www.sparkauto.tn/listing-detail/43/Suzuki-Vitara-35
Chery Tiggo 2,1.5 L,"43,000 DT",144,1ère main,75 000 Km,SUV,Juillet 2020,6 cv,106 cv,Essence,6 L/100 km,Manuelle,https://www.sparkauto.tn/listing-detail/55/CheryTiggo2
Toyota RAV 4,Hybride,"144,000 DT",143,"1ère main, Hybride",25 000 Km,SUV,Octobre 2021,9 cv,218 cv,Hybride,4.6 L/100,Automatique,https://www.sparkauto.tn/listing-detail/54/Toyota-RAV4-Hybride
Dacia Duster,AWD,"73,000 DT",138,"1ère main, 4X4",66 500 Km,SUV,Décembre 2021,6 cv,130 cv,Diesel,5.2 L/100,Manuelle,https://www.sparkauto.tn/listing-detail/53/DaciaDuster4X4
Ford Fiesta,1.2 Duratec,"36,800 DT",108,1ère main,158 000 Km,Citadine,Avril 2017,5 cv,82 cv,Essence,5.2 L/100,Manuelle,https://www.sparkauto.tn/listing-detail/52/FordFiesta
