Nom,Description,Prix,Référence,Main,Kilométrage,Catégorie,1ère Immat.,Puissance Fiscale,Moteur,Carburant,Consommation,Transmission,URL
Lada Niva 4*4,1.7,"27,000 DT",2382,2ème main,89 000 Km,SUV,Mars 2018,7 cv,83 cv,Essence,9.1 L/100KM,Manuelle,https://www.sparkauto.tn/listing-detail/178/LadaNiva4*4
Volkswagen Tiguan R Line,1.5 l,"168,000 DT",2431,1ere main,6 000 Km,SUV,Juillet 2024,8 cv,150 cv,Essence,6.7 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/176/VolkswagenTiguanRLine
Porsche Panamera,3 l,"170,000 DT",2390,1ere main,56 000 Km,Coupé,Mai 2014,15 cv,250 cv,Diesel,6.3L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/172/PorschePanamera
Haval H6,1.5 l,"74,000 DT",2350,1ere main,133 000 Km,SUV,Février 2020,9 cv,143 cv,Essence,9.1 L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/169/HavalH6
Volkswagen Tiguan,2 l,"68,500 DT",2341,1ere main,184 000 Km,SUV,Juin 2014,6 cv,110 cv,Diesel,5 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/168/VolkswagenTiguan
Renault Clio,1.6 l E Hybride Esprit Alpine,"98,000 DT",2322,1ere main,5 000 Km,Compact,Mai 2024,5 cv,145 cv,Hybride,4.2 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/164/RenaultClio
Seat Ibiza,1.0 l,"40,500 DT",2299,1ere main,137 000 Km,Compact,Janvier 2020,4 cv,80 cv,Essence,5.4 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/163/SeatIbiza
Great Wall M4,1.5 l,"39,800 DT",2229,1ere main,99 000 Km,SUV,Décembre 2019,6 cv,94 cv,Essence,7 L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/160/GreatWallM4
Chery Tiggo 3X,1.0 l,"53,000 DT",2213,1ere main,62 000 Km,SUV,Décembre 2021,6 cv,102 cv,Essence,5.9 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/157/CheryTiggo3X
Mazda 2,1.5 l,"36,500 DT",2210,1ere main,142 000 Km,Compact,Aout 2016,6 cv,115 cv,Essence,4.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/156/Mazda2
Mini One,1.5 l,"35,000 DT",2177,1ere main,125 000 Km,Compact,Décembre 2014,4 cv,75 cv,Essence,4.5 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/155/MiniOne
BMW Série 3,316i Finition Luxury,"66,000 DT",2162,1ere main,131 000 Km,Citadine,Juillet 2015,7 cv,136 cv,Essence,5.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/154/BMWS%C3%A9rie3
BMW Serie 3,318i,"74,000 DT",2161,1ere main,142 000 Km,Berline,Avril 2016,7 cv,136 cv,Essence,5.4 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/152/BMWSerie3
BMW Serie 3,320i Finition M Sport,"88,000 DT",2160,1ere main,92 000 Km,Berline,Juillet 2016,10 cv,184 cv,Essence,5.8 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/151/BMWSerie3
Mercedes GLA 200 AMG,200 AMG,"95,000 DT",2125,1ere main,104 000 Km,SUV,Juin 2015,8 cv,156 cv,Essence,5.8 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/150/MercedesGLA200
Kia Rio,1.2 Gt Line,"63,000 DT",2073,1ere main,41 000 Km,Compact,Novembre 2021,5 cv,84 cv,Essence,5.4 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/147/KiaRio
Mini Cooper,1.6 l,"45,000 DT",2020,1ere main,101 000 Km,Compact,Mai 2012,7 cv,122 cv,Essence,6.4L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/144/MiniCooper
Seat Arona,1.6 l,"72,000 DT",2019,1ere main,43 000 Km,SUV,Décembre 2020,6 cv,115 cv,Essence,4.5 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/143/SeatArona
Haval Jolion,1.5T,"84,000 DT",1790,1ere main,35 000 Km,SUV,Juillet 2021,9 cv,143 cv,Essence,7.5 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/141/HavalJolion
Fiat 500,1.2 l,"38,500 DT",1792,2ème main,99 000 Km,Compact,Aout 2017,4 cv,69 cv,Essence,4.8 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/140/Fiat500
