Modèle,Version,Prix,Promo,DISPONIBILITÉ,GARANTIE,CARROSSERIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,CHARGE UTILE,0-100 KM/H,VITESSE MAXI,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,CONSOMMATION MIXTE,AIRBAGS,BARRE STABILISATRICE,JANTES,SELLERIE,ALIMENTATION ÉLECTRIQUE,CLIMATISATION,FERMETURE CENTRALISÉE,RÉTROVISEURS EXTÉRIEURS,VITRES ÉLECTRIQUES,URL,VOLUME DU COFFRE,ANTI-PATINAGE,ASSISTANCE AU FREINAGE,AIDE AU DÉMARRAGE EN CÔTE,AIDE AU STATIONNEMENT,DIRECTION ASSISTÉE,BAGUETTES EXTÉRIEURES D'ENCADREMENT DES VITRES,CALANDRE,BARRES DE TOIT,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,FEUX À LED,PHARES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,APPUIS TÊTES ARRIÈRES,SIÈGES,SIÈGES RÉGLABLES EN HAUTEUR,TOIT,VOLANT,VOLANT RÉGLABLE,BOUTON START & STOP,CLÉ INTELLIGENTE,FREIN DE STATIONNEMENT,INSTRUMENTATION DIGITALE,ANTIBROUILLARDS,VOLUME DU COFFRE MAXIMAL,PEINTURE,POMMEAU DE LEVIER DE VITESSE,MODES DE CONDUITE,ORDINATEUR DE BORD,VOLUME UTILE,VITRES,NOMBRE DE MOTEURS ÉLECTRIQUES,BATTERIE,TYPE DE BATTERIE,AUTONOMIE ÉLECTRIQUE (WLTP),AUTONOMIE ÉLECTRIQUE (NEDC),CONSOMMATION ÉLECTRIQUE (WLTP),TEMPS DE RECHARGE NORMALE (AC),TEMPS DE RECHARGE RAPIDE (DC),ALERTE DE FRANCHISSEMENT DE LIGNE,ALERTE DE RISQUE DE COLLISION,AIDE AU MAINTIEN DANS LA VOIE,ALERTE DE CIRCULATION TRANSVERSALE,ASSISTANT DE FEUX DE ROUTE,CONDUITE AUTONOME,RÉGULATEUR DE VITESSE,RECONNAISSANCE DES PANNEAUX,COFFRE À BAGAGES,RÉTROVISEUR INTÉRIEUR,KIT RANGEMENT,PUISSANCE ÉLECTRIQUE,COUPLE ÉLECTRIQUE,CONTRÔLE DE PRESSION DES PNEUS,POIGNÉES DE PORTES,ALARME ANTIVOL,SYSTÈME DE DESCENTE EN CÔTE,EMISSIONS DE CO2,ARCEAU DE BENNE,MARCHEPIEDS LATÉRAUX,FINITION INTÉRIEURE,FREINAGE,NAVIGATION,PÉDALIERS
"GWM WINGLE 5 DOUBLE CABINE
2.0 L DIESEL 4X2",Version unique,87 000 DT,Non,Disponible,3 ans ou 100.000 km,Pick up,5,4,4,Diesel,7 CV,143 CH,305 nm 1800 tr/min,1996 CM³,Manuelle,6,Propulsion,5090 mm,1800 mm,1730 mm,,N.C,N.C,8.9 L/100 km,7.6 L/100 km,8.2 L/100 km,Frontaux,,En aluminium | 16'',Similicuir,,Manuelle,,Électriques | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/great-wall/wingle-5-double-cabine/2.0-l-diesel-4x2-2023,,,EBD,,Radar de recul,,,,,Pare-chocs | Rétroviseurs,,,6 haut-parleurs,USB | 1 fente pour carte SD,Tactile | 7 pouces,,,,Conducteur,,,En hauteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chromées,,,,,,,,,
"SSANGYONG TIVOLI
1.5 T ILOVIT BVA",Version unique,88 000 DT,Non,Disponible,3 ans ou 100.000 km,SUV,5,5,4,Essence,8 CV,163 CH,260 nm 1500 tr/min,1497 CM³,Automatique,6,Traction,4225 mm,1810 mm,1615 mm,,N.C,175 KM/H,9.9 L/100 km,6.1 L/100 km,7.5 L/100 km,Frontaux,,En aluminium | 16'',Similicuir,1 prise 12 V,Automatique | Bizone,À distance,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/ssangyong/tivoli/1.5-t-ilovit-2024,423 L,ESP,ESS | HBA,HSA,Radar de recul | Radar avant | Caméra de recul,,,,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour,Full LED,6 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth,Tactile | 8 pouces,Avant | Arrière,,,Conducteur,,Cuir | Chauffant | Multi-fonctions | Sport,En hauteur,Démarrage mains libres,Accès mains libres,,10.25 pouces,LED,,,Cuir,Normal | Sport | Winter,,,Lunette et vitres arrières sur-teintées,,,,,,,,,,,,,,,,,Cache Bagages,Anti-éblouissement,Porte-lunettes,,,,,Périmétrique,HDC,,,,,,,
"CENNTRO LOGISTAR 260
43.5 KWH",Version unique,88 000 DT,Non,Disponible,5 ans ou 100000 km | Batterie garantie 8 ans ou 160.000 KM,Utilitaire,2,5 | 2 portes arrières battantes tolées,,Electrique,3 CV,102 CH,265 nm 0 tr/min,,Automatique,,Traction,5457 mm,1850 mm,2046 mm,1280 KG,,95 KM/H,,,,Frontal conducteur,,16'',Tissu,1 prise 12 V,Manuelle,À distance,Électriques,Avant,https://www.automobile.tn/fr/neuf/cenntro/logistar-ls-260/43.5-kwh,,,,,Radar de recul | Caméra de recul,Électrique,,,,,Feux de jour,,2 haut-parleurs,USB | Bluetooth,Tactile,,,,,,,,,,,,,,,,Normal | Eco,,7.5 m³,,1,43.5 kWh,,270 km,,13.5 kWh/100 km,8 heures,30 minutes,,,,,,,,,,,,,,,,,,,,,,,,
"CITROËN JUMPY FOURGON
2.0 L HDI",Version unique,88 000 DT,Non,1 mois,3 ans,Utilitaire,3,5 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,4,Diesel,8 CV,150 CH,370 nm 2000 tr/min,1997 CM³,Manuelle,6,Traction,4980 mm,1920 mm,1955 mm,1000 KG,9.9 s,170 KM/H,6 L/100 km,5.2 L/100 km,5.5 L/100 km,Frontaux,,16'',Tissu,,Manuelle,À distance,Électriques,Avant,https://www.automobile.tn/fr/neuf/citroen/jumpy-fourgon/2.0-l-hdi-2025,,ESP,,,Radar de recul,Électrique,,,,,,,,USB | Bluetooth,,Avant conducteur,,,,,,,,,,,,,,,,,5.3 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RENAULT EXPRESS COMBI
1.5 L DCI",Version unique,88 000 DT,Non,Disponible,2 ans ou 100.000 km,Monospace,5,5 | 2 portes latérales coulissantes,4,Diesel,5 CV,95 CH,240 nm 1750 tr/min,1461 CM³,Manuelle,6,Traction,4394 mm,1751 mm,1842 mm,,13 s,163 KM/H,,,6.1 L/100 km,Frontaux,,15'',Tissu,1 prise 12 V,Manuelle,À distance,Électriques | Avec clignotants intégrés,Avant,https://www.automobile.tn/fr/neuf/renault/express-combi/1.5-l-dci,800 L,,AFU,,,,,Chromée,,,Feux de jour,,Commandes sous le volant,USB | Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEUGEOT EXPERT
2.0 L HDI",Version unique,88 000 DT,Non,15 jours,3 ans,Utilitaire,3,5 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,4,Diesel,9 CV,150 CH,370 nm 2000 tr/min,1997 CM³,Manuelle,6,Traction,4983 mm,2010 mm,1895 mm,1000 KG,9.9 s,170 KM/H,6 L/100 km,5.2 L/100 km,5.5 L/100 km,Frontaux,,16'',Similicuir/Tissu,,Manuelle,À distance,Électriques,Avant,https://www.automobile.tn/fr/neuf/peugeot/expert/2.0-l-hdi-2025,,ESP,,,Radar de recul,,,,,,,,,USB | Bluetooth,,Avant,,,Conducteur et passager,,,,,,,,,,,,,,5.3 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIA SONET,1.5 L EX BVM,89 480 DT,Non,Disponible,5 ans,SUV,5,5,4,Essence,6 CV,115 CH,144 nm 4500 tr/min,1497 CM³,Manuelle,6,Traction,4110 mm,1790 mm,1610 mm,,10.5 s,175 KM/H,8.8 L/100 km,5.5 L/100 km,6.7 L/100 km,Frontaux,,En aluminium | 16'',Tissu | Cuir artificiel,,Automatique,À distance,Électriques | Rabattables,Avant/Arrière,https://www.automobile.tn/fr/neuf/kia/sonet/1.2-l-bvm-ex#specs,385 L,ESC,DBC | Freinage multi-collision,HAC,Radar de recul | Caméra de recul,Électrique,,,,,Feux de jour | Avant,LED,Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 8 pouces,Avant,,,Conducteur,,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Accès mains libres,,10.25 pouces,LED,,,Cuir,,,,Teintées,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLYSCAR ANNIBAL,2.5 l Diesel 4x2,89 700 DT,Non,Sur arrivage,3 ans ou 100.000 km,Pick up,5,4,4,Diesel,6 CV,127 CH,310 nm 1800 tr/min,2499 CM³,Manuelle,6,Propulsion,5341 mm,1885 mm,1845 mm,1000 KG,12.9 s,170 KM/H,8.5 L/100 km,7.1 L/100 km,7.8 L/100 km,Frontaux,Avant,En aluminium | 16'',Tissu,1 prise 12 V,Manuelle,À distance,Électriques | Chromés | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/wallyscar/annibal/2.5-l-diesel-4x2#specs,,,EBD,,Radar de recul | Caméra de recul,Hydraulique,,,,Pare-chocs,Feux de jour,,4 haut-parleurs | Commandes au volant,USB | Apple Carplay | Bluetooth | Wifi,Tactile | 11 pouces,Avant,2,,Conducteur,,Cuir | Multi-fonctions,En hauteur,,,,,LED,,Métallisée,,Eco,,1.5 m³,,,,,,,,,,,,,,,,,,,,,,,,Chromées,,,228 g/km,+1000 DT,+1000 DT,,,,
"VOLKSWAGEN POLO
1.0 L TSI DRIVE",Version unique,89 000 DT,Non,2 mois,3 ans,Citadine,5,5,3,Essence,5 CV,95 CH,175 nm 1600 tr/min,999 CM³,Manuelle,5,Traction,4074 mm,1751 mm,1451 mm,,10.8 s,187 KM/H,6.7 L/100 km,4.5 L/100 km,5.2 L/100 km,Frontaux | Latéraux | Rideaux,,En aluminium | 15'',Tissu,,Manuelle,À distance,Électriques | Rabattables | Dégivrants,Avant/Arrière,https://www.automobile.tn/fr/neuf/volkswagen/polo/1.0-l-drive,351 L,ESP | ASR,,,Radar de recul | Radar avant,,,Contour chromé,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,LED,Composition Media | 4 haut-parleurs,2 USB-C | Android Auto | Apple Carplay | Bluetooth | Mirrorlink,Tactile | 6.5 pouces,,3,,Conducteur,,Multi-fonctions,En hauteur et en profondeur,,,,Digital Cockpit | 8 pouces,,,,,,,,Lunette et vitres arrières sur-teintées,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deep Black Nacré,,,
"HYUNDAI VENUE
1.0 L TURBO BVA",Version unique,90 000 DT,Non,Disponible,5 ans ou 100000 km,SUV,5,5,3,Essence,7 CV,120 CH,172 nm 1500 tr/min,998 CM³,Automatique,7,Traction,3995 mm,1770 mm,1605 mm,,10.2 s,183 KM/H,,,"5,6 L/100 km",Frontaux | Latéraux,,En aluminium | 16'',Tissu,,Automatique,À distance,Électriques | Rabattables | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/venue/1.0-l-turbo-bva,355 L,ESC,Freinage automatique anti-collision (AEB),,Radar de recul | Caméra de recul,Électrique,,,,,Feux de jour | Avant,,6 haut-parleurs | Commandes au volant,Android Auto | Apple Carplay | Bluetooth | Commande vocale | 3 USB-C,Tactile | 8 pouces,Avant,3,,,Ouvrant,Cuir | Multi-fonctions,En hauteur,Démarrage mains libres,Accès mains libres,,,,,,,Normal | Sport | Eco,,,,,,,,,,,,,,,,,,,,,,Porte-lunettes,,,,,,,,,,,,,
"DONGFENG SHINE MAX HYBRIDE
1.5 T HEV E-CVT",Version unique,90 000 DT,Non,Disponible,5 ans ou 150000 km | Batterie garantie 8 ans ou 200.000 km,Berline,5,4,4,Essence | Hybride,9 CV,205 CH,230 nm 2000 tr/min,1476 CM³,Automatique,,Traction,4797 mm,1870 mm,1475 mm,,10 s,210 KM/H,,,4.3 L/100 km,Frontaux | Latéraux,,En aluminium | 17'',Similicuir,,Automatique | Ventilation arrière,À distance,Électriques | Dégivrants,Avant/Arrière,https://www.automobile.tn/fr/neuf/dongfeng/shine-max/1.5-t-hev,506 L,ESC | TCS,EBA | EBD,Autohold | HAC,Radar de recul | Caméra de recul,EPS,Chrome,,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour,Full LED,2 haut-parleurs | Commandes au volant,USB | Bluetooth | Mirrorlink,Tactile | 10.25 pouces,Avant | Arrière,3,Sport,Conducteur,Ouvrant | Panoramique,,En hauteur,Démarrage mains libres,Accès mains libres,Éléctrique | EPB,12.3 pouces,,,,,Confort | Sport | Eco,,,,,,,,,,,,,,,,,,,,,,,,,TPMS,,,,,,,,Étriers rouges,,
"OPEL MOKKA
1.2 L TURBO 130 CH AT8 GS SPECIAL EDITION",Version unique,91 000 DT,Non,25 jours,3 ans ou 100.000 km,SUV,5,5,3,Essence,7 CV,130 CH,230 nm 1750 tr/min,1199 CM³,Automatique,8,Traction,4151 mm,1791 mm,1531 mm,,9.1 s,200 KM/H,5.9 L/100 km,4.2 L/100 km,4.8 L/100 km,Frontaux | Latéraux | Protège-tête,,En aluminium | 17'',Similicuir/Tissu,,Automatique,À distance,Électriques | Rabattables,Avant/Arrière,https://www.automobile.tn/fr/neuf/opel/mokka/1.2-l-turbo-130-ch-at8-gs-special-edition,350 L,ESP,,,Radar de recul | Radar avant | Caméra de recul 180°,,,,,,Feux de jour,LED,6 haut-parleurs,USB | Android Auto | Apple Carplay | Bluetooth | Mirrorlink,Tactile | 10 pouces,,,Sport,Conducteur et passager,,Cuir | 3 branches | Multi-fonctions | à méplat | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Accès mains libres,Éléctrique,12 pouces,LED,,Bi-ton,,,,,Lunette et vitres arrières sur-teintées,,,,,,,,,,,,,,,,TSR,,Anti-éblouissement,Poches aumônières,,,,,,,,,,,,GPS | Cartographie Tunisienne,Aluminium
